,Item,Volume,Price for Farmer/unit,Total
0,Salad Greens,260.0,694.5,2457.0
1,Half Box,24.0,50.0,1200.0
2,Full Box,10.0,100.0,1000.0
3,Kale,373.5,109.0,976.75
4,Lettuce,303.0,85.25,921.25
5,Beets,268.0,96.0,894.75
6,Swiss Chard,291.0,98.0,752.5
7,Carrots,224.0,33.8,729.5
8,Potatoes,155.0,22.5,650.0
9,Summer Squash,385.0,42.0,574.0
10,Peppers,135.0,55.5,479.13
11,Leek,185.0,36.25000000000001,460.05
12,Beans [Bush],121.5,31.0,429.88
13,Tomatoes,95.0,20.0,380.0
14,Eggplant,123.0,28.0,365.5
15,Broccoli,69.0,14.25,239.5
16,Corn,76.0,9.25,234.75
17,Garlic,78.0,8.75,227.5
18,Onion,135.0,8.05,218.05
19,Cucumbers,149.0,9.75,211.5
20,Celery,78.0,7.75,206.25
21,Cauliflower,49.5,11.0,189.13
22,Bok Choi,56.0,7.75,124.25
23,Basil,26.5,21.0,111.0
24,Tomatoes [Cherry],23.0,4.75,109.25
25,Arugula,24.0,13.0,107.0
26,Kale (Baby),10.5,60.0,105.0
27,Spinach,23.0,18.5,101.5
28,Ground Cherries,26.0,3.75,97.5
29,Hakurei,31.0,6.5,95.5
30,Squash,36.0,4.1,89.0
31,Peppers [Hot],44.0,13.75,85.0
32,Parsnip,28.0,3.0,84.0
33,Cabbage,28.0,3.0,84.0
34,Salad Turnips,28.0,3.0,84.0
35,Mint,28.5,22.5,83.88
36,Magenta Diakon,26.0,3.0,78.0
37,Onions [Walla],50.0,3.0,75.0
38,Dill,25.0,3.0,75.0
39,Radishes,36.0,4.0,64.0
40,Romas,25.0,2.5,62.5
41,Turnip,25.0,2.5,62.5
42,Scarlette Queen,19.0,3.0,57.0
43,mixed mustards,19.0,2.5,47.5
44,Zucchini,29.0,3.5,46.25
45,Tomatoes [Roma],26.0,1.5,39.0
46,Beets [Golden],10.0,3.75,37.5
47,Beets [Chiogga],10.0,3.75,37.5
48,Garlic Scapes,6.0,18.0,36.0
49,Beans [Fava],12.0,7.800000000000001,31.2
50,Kolhrabi,10.0,3.0,30.0
51,Squash[mini],20.0,1.35,27.0
52,Fennel,5.0,2.4,12.0
